resonance_smis,H298_kcal,weights
[CH2]n1c(N)ccc1OC,38.11966582983256,1.0
C[C]1C(C=O)NC1C=O,9.469012003663998,1.0
C#CC12CCC[C]1OC2,80.30941143897108,1.0
O=C1C2CC([CH]O2)C1O,-54.04586219174445,1.0
COCC1NC1[CH]CO,-10.619400058140657,1.0
[CH2]N1C2COCC(=O)C21,18.416759800555717,1.0
O=CCC[C](O)CC=O,-79.69290449866912,1.0
O=[C]C1OC2CCOC12,-40.499148823548275,1.0
[CH2]OCC(C)(O)COC,-90.298047163531,1.0
C[CH]OC1CCC1(C)O,-43.784990068865774,1.0
O=C1CC2(C[CH]O1)CN2,-6.922104651613676,1.0
CC1C([O])CC2CCC21,11.156116568905393,1.0
[CH]1OC2C1C=CC21CN1,85.8030758099543,1.0
CCCCOC[CH]OC,-54.959887736939365,1.0
C[CH]C1(O)C=CCOC1,-30.14209769530976,1.0
[CH2]OC1C2C(O)C1C2O,-21.42150800440972,1.0
O=C1OCC2C[N]C1C2,-26.445641843616183,1.0
CCC(C)([O])C(=O)OC,-96.75924922584706,1.0
CCC(C)([C]=O)C1CO1,-25.38254059981505,1.0
[CH2]Oc1occc1C,-4.201472204714008,1.0
[CH]1OC=NC12CCOC2,-7.863432546169692,1.0
CN1C2[CH]OC(CO)C21,-2.7670178963443206,1.0
CCC1C2(O)[CH]CC12C,24.360040407415806,1.0
C[CH]n1cccc1C#N,89.01978516737597,1.0
[CH]1C2OCC23C=CCN13,88.84854142449403,1.0
C#CCC12[CH]CCC1N2,119.8973509249343,1.0
COC1[CH]n2cccc21,76.91639542662064,1.0
CC1[CH]C2(CC2O)C1=O,3.9049430700291823,1.0
[CH2]ON=CCCC,35.083424030640074,1.0
CO[C]1CC(C)C12CN2,46.310663814532475,1.0
C[CH]C(C)C(=O)OCC,-74.36384003547039,1.0
CC(O)C([O])(C=O)C=O,-95.0994501946783,1.0
C[CH]CC1(O)CC1O,-32.950671922164645,1.0
CC1C(=O)C(O)C1[CH]O,-66.81837633415316,1.0
[CH2]OCC(C)(C)N1CC1,24.204812145679536,1.0
CC12C=CC(O)[CH]C1C2,25.11048609547448,1.0
OCCC12[CH]OC1CO2,-33.45239182735098,1.0
O=COC1O[CH]CC1O,-119.4563375246785,1.0
C[C](O)C1(CCO)CC1,-47.26980795042349,1.0
OCC1CC12O[CH]C2O,-34.96472411741086,1.0
C[C]1N(C)C1(C)C(C)=O,25.550640749716173,1.0
OC1CC1(O)[C]1CN1,21.86344387262191,1.0
CCC1[CH]C2CC(C1)O2,9.60272285292144,1.0
C[C](C)C1(C=O)CC1,9.99142702582429,1.0
CC1C=CCCC[CH]C1,31.463632537881107,1.0
C[C]1OC12CCCC2C,8.323206510941983,1.0
COC1[C](O)CC=C1C,-31.990230505445478,1.0
OCC#CC1OC[C]1O,4.717947791497279,1.0
CC(O)C1[C]2C(O)CC21,3.0965753286784046,1.0
C#CC1CC12C[CH]OC2,81.61666493466738,1.0
CN1C2CC([C]=O)C21C,56.44728764486606,1.0
O=[C]C1(CCO)CC1O,-62.96011471681025,1.0
CC(O)([CH]O)C(O)C=O,-128.64074194251998,1.0
CC1([CH]CCC#N)CC1,66.8279537172621,1.0
C#CC[CH]C1CC1(C)C,91.98347267771359,1.0
CC12[N]C1C1COC2C1,42.05888990590651,1.0
CC12CCC1C2[C]=O,39.48078925647811,1.0
CC12CC1O[C]1COC12,21.478235321365702,1.0
CC12CN3[CH]C1(CO)C32,91.23935514271324,1.0
O=[C]OC1COC1CO,-91.33645348875868,1.0
[CH2]N1CC12C(C)OC2C,45.02480077736498,1.0
CC1[C](O)C2(C)CN12,42.25211225236924,1.0
CO[C](C)C(O)C(C)C,-72.30875510379497,1.0
[C]#CC12CCC1C2C#N,205.48712959270767,1.0
CC12CC1(C=O)C1[N]C12,100.5073011444803,1.0
CC1(O[CH]CO)CC1,-29.09418271871458,1.0
O=C1CNC[C]2OCC21,6.515446402474662,1.0
CC(C)C1(C=O)[CH]CO1,-16.90669085485472,1.0
CC1CC(C#N)([CH]N)O1,42.95814930011627,1.0
N=C1O[CH]C(O)C2NC12,15.878495607247803,1.0
CCC1(C)OC1(C)[C]=O,-32.837148640570696,1.0
[CH2]N1C2C3NC3C21CC,144.58208222563422,1.0
N=[C]OC1CN2CC12,86.82340511818127,1.0
O=[C]C1C2C=CCC12,46.052407437240035,1.0
C[CH]OC1C2C=CCC21,41.57689625126723,1.0
C[CH]N1CC1(CC)CO,6.118240158643987,1.0
O=[C]CC12CCCC1O2,-17.936840010304355,1.0
N=[C]OCCOC1CC1,8.675802223466578,1.0
CO[CH]Cc1ccoc1,-7.7490878776850725,1.0
[CH2]OC1CC2(C#N)NC12,95.17978830716856,1.0
